layer,seed,gene,margin,t_dual,d_dual_to_tf,d_dual_to_tgt,d_tf_to_tgt
1,seed44,PRDM1,-1.4303071948002917,-0.07426467,0.1988679,1.1643307,1.0704744
1,seed44,PPARG,-0.948197753786187,-0.07426467,0.1988679,1.1643307,1.0704744
1,seed44,CREM,-1.5716867669272423,-0.07426467,0.1988679,1.1643307,1.0704744
1,seed44,FOS,-2.4933147098248294,-0.07426467,0.1988679,1.1643307,1.0704744
1,seed44,CTNNB1,-1.621794739326035,-0.07426467,0.1988679,1.1643307,1.0704744
1,seed44,JUN,-2.4650928805317136,-0.07426467,0.1988679,1.1643307,1.0704744
1,seed44,RB1,-1.6059829712443638,-0.07426467,0.1988679,1.1643307,1.0704744
1,seed44,DACH1,-0.23703473261728547,-0.07426467,0.1988679,1.1643307,1.0704744
1,seed44,EGR1,-2.7027481520207126,-0.07426467,0.1988679,1.1643307,1.0704744
1,seed44,ERG,-0.146188760764268,-0.07426467,0.1988679,1.1643307,1.0704744
1,seed44,ZEB1,-1.154830990574543,-0.07426467,0.1988679,1.1643307,1.0704744
1,seed44,ESR1,-0.9685344456209775,-0.07426467,0.1988679,1.1643307,1.0704744
1,seed44,RUNX2,-0.6322262336001949,-0.07426467,0.1988679,1.1643307,1.0704744
1,seed44,ETS1,-0.7201081802764719,-0.07426467,0.1988679,1.1643307,1.0704744
1,seed44,ETS2,-2.184831770593565,-0.07426467,0.1988679,1.1643307,1.0704744
1,seed44,FHL2,-1.4248851439352372,-0.07426467,0.1988679,1.1643307,1.0704744
1,seed44,RELA,-2.64608564976555,-0.07426467,0.1988679,1.1643307,1.0704744
1,seed44,SPI1,-2.3903123537580684,-0.07426467,0.1988679,1.1643307,1.0704744
1,seed44,FOXO3,-1.8073453217640065,-0.07426467,0.1988679,1.1643307,1.0704744
1,seed44,GFI1B,-1.9489618158896942,-0.07426467,0.1988679,1.1643307,1.0704744
1,seed44,KLF1,-1.8885132497333903,-0.07426467,0.1988679,1.1643307,1.0704744
1,seed44,HDAC9,-1.0456585969030399,-0.07426467,0.1988679,1.1643307,1.0704744
1,seed44,MEF2C,-1.2455166966444406,-0.07426467,0.1988679,1.1643307,1.0704744
1,seed44,HEY1,-1.45219414207819,-0.07426467,0.1988679,1.1643307,1.0704744
1,seed44,LEF1,0.07265279747241937,-0.07426467,0.1988679,1.1643307,1.0704744
1,seed44,LYL1,-2.4059078800556497,-0.07426467,0.1988679,1.1643307,1.0704744
1,seed44,NFKBIA,-2.7513701849851553,-0.07426467,0.1988679,1.1643307,1.0704744
1,seed44,NFKBIZ,-1.8064833252099817,-0.07426467,0.1988679,1.1643307,1.0704744
1,seed44,STAT4,0.22483394813092739,-0.07426467,0.1988679,1.1643307,1.0704744
1,seed44,TNFAIP3,-1.7574091848249305,-0.07426467,0.1988679,1.1643307,1.0704744
1,seed44,PBX1,-1.507074463216152,-0.07426467,0.1988679,1.1643307,1.0704744
1,seed44,SOX9,-1.5009472059101279,-0.07426467,0.1988679,1.1643307,1.0704744
2,main,BCL11A,-0.9022703988540512,0.05551374,0.20502275,1.0836912,1.1286172
2,main,GATA1,-1.2527961940220722,0.05551374,0.20502275,1.0836912,1.1286172
2,main,BCL6,-2.1655488859260914,0.05551374,0.20502275,1.0836912,1.1286172
2,main,NFKB1,-1.7243782040943976,0.05551374,0.20502275,1.0836912,1.1286172
2,main,STAT3,-1.680948736315031,0.05551374,0.20502275,1.0836912,1.1286172
2,main,CEBPB,-2.7363299634014546,0.05551374,0.20502275,1.0836912,1.1286172
2,main,PRDM1,-1.3115826048684438,0.05551374,0.20502275,1.0836912,1.1286172
2,main,PPARG,-1.1441944683553684,0.05551374,0.20502275,1.0836912,1.1286172
2,main,CREM,-1.7138697954472675,0.05551374,0.20502275,1.0836912,1.1286172
2,main,FOS,-2.4685054532965154,0.05551374,0.20502275,1.0836912,1.1286172
2,main,CTNNB1,-1.610618986819947,0.05551374,0.20502275,1.0836912,1.1286172
2,main,JUN,-2.371401479343241,0.05551374,0.20502275,1.0836912,1.1286172
2,main,RB1,-1.5927412381356727,0.05551374,0.20502275,1.0836912,1.1286172
2,main,DACH1,-0.30135908664624145,0.05551374,0.20502275,1.0836912,1.1286172
2,main,EGR1,-2.5900451146689876,0.05551374,0.20502275,1.0836912,1.1286172
2,main,ERG,-0.4929290536140285,0.05551374,0.20502275,1.0836912,1.1286172
2,main,ZEB1,-1.2514818486303412,0.05551374,0.20502275,1.0836912,1.1286172
2,main,ESR1,-0.6113483347309752,0.05551374,0.20502275,1.0836912,1.1286172
2,main,RUNX2,-0.7135391279346017,0.05551374,0.20502275,1.0836912,1.1286172
2,main,ETS1,-0.9326627167152626,0.05551374,0.20502275,1.0836912,1.1286172
2,main,ETS2,-2.227380573201449,0.05551374,0.20502275,1.0836912,1.1286172
2,main,FHL2,-1.5482862588399058,0.05551374,0.20502275,1.0836912,1.1286172
2,main,RELA,-2.9410853698896493,0.05551374,0.20502275,1.0836912,1.1286172
2,main,SPI1,-2.3977549011296087,0.05551374,0.20502275,1.0836912,1.1286172
2,main,FOXO3,-1.698537547331517,0.05551374,0.20502275,1.0836912,1.1286172
2,main,GFI1B,-2.1619838480466167,0.05551374,0.20502275,1.0836912,1.1286172
2,main,KLF1,-1.7166891666407054,0.05551374,0.20502275,1.0836912,1.1286172
2,main,HDAC9,-1.2596134420364318,0.05551374,0.20502275,1.0836912,1.1286172
2,main,MEF2C,-1.2066660494875079,0.05551374,0.20502275,1.0836912,1.1286172
2,main,HEY1,-1.7086067285706275,0.05551374,0.20502275,1.0836912,1.1286172
2,main,LEF1,0.029882289545568153,0.05551374,0.20502275,1.0836912,1.1286172
2,main,LYL1,-2.07982235679594,0.05551374,0.20502275,1.0836912,1.1286172
2,main,NFKBIA,-2.797477934192341,0.05551374,0.20502275,1.0836912,1.1286172
2,main,NFKBIZ,-1.8888531335374217,0.05551374,0.20502275,1.0836912,1.1286172
2,main,STAT4,-0.16711241812393607,0.05551374,0.20502275,1.0836912,1.1286172
2,main,TNFAIP3,-2.0148071188822136,0.05551374,0.20502275,1.0836912,1.1286172
2,main,PBX1,-1.593899935877706,0.05551374,0.20502275,1.0836912,1.1286172
2,main,SOX9,-1.8063849264565548,0.05551374,0.20502275,1.0836912,1.1286172
2,seed43,BCL11A,-0.9186906013091782,0.14633307,0.29291287,1.1418395,1.3122342
2,seed43,GATA1,-1.2189808396009423,0.14633307,0.29291287,1.1418395,1.3122342
2,seed43,BCL6,-1.9530422940470489,0.14633307,0.29291287,1.1418395,1.3122342
2,seed43,NFKB1,-1.18157973594008,0.14633307,0.29291287,1.1418395,1.3122342
2,seed43,STAT3,-1.4785459866734438,0.14633307,0.29291287,1.1418395,1.3122342
2,seed43,CEBPB,-2.44186573400281,0.14633307,0.29291287,1.1418395,1.3122342
2,seed43,PRDM1,-0.9377721242408477,0.14633307,0.29291287,1.1418395,1.3122342
2,seed43,PPARG,-1.452549517803868,0.14633307,0.29291287,1.1418395,1.3122342
2,seed43,CREM,-1.3978741959102825,0.14633307,0.29291287,1.1418395,1.3122342
2,seed43,FOS,-2.4957034174822827,0.14633307,0.29291287,1.1418395,1.3122342
2,seed43,CTNNB1,-1.416154736705209,0.14633307,0.29291287,1.1418395,1.3122342
2,seed43,JUN,-2.6105985643727734,0.14633307,0.29291287,1.1418395,1.3122342
2,seed43,RB1,-1.2079376661102215,0.14633307,0.29291287,1.1418395,1.3122342
2,seed43,DACH1,-0.9822127989699254,0.14633307,0.29291287,1.1418395,1.3122342
