tf,n_targets,layer,obs_dist,null_dist_mean,null_dist_std,z_dist
MEF2C,12,6,11.287663067102748,13.758633475293186,1.3394070742245345,-1.8448240686059052
MEF2C,12,7,10.988536442189044,13.162785492212251,1.3899780663339838,-1.564232632647009
MEF2C,12,8,10.834503058101763,13.168935383888336,1.3157640249293638,-1.774202882550992
MEF2C,12,9,9.313807703607152,11.935851194908754,2.041112128870961,-1.2846151145806881
MEF2C,12,10,7.164533530182246,10.760116850006487,1.8148266463747282,-1.9812268720027482
MEF2C,12,11,5.305096481147272,8.520607132399402,2.430118637108601,-1.3231908114074635
MYBL1,11,0,16.60576232086485,17.621550629034136,0.6241382432019221,-1.6275053151015697
MYBL1,11,1,14.428237949004354,15.565748330796719,0.9447753066848968,-1.2040009658844206
MYBL1,11,2,13.3792465290155,14.876135967887183,0.7619453358634283,-1.9645627690278127
MYBL1,11,3,13.180804519264287,14.836450759538433,0.9777406479014761,-1.6933388663217168
MYBL1,11,4,12.201048627617729,14.353276279117205,1.054628589247836,-2.0407446502417037
MYBL1,11,5,11.770615267296659,13.193094813363734,1.3286412918091763,-1.0706272301157536
MYBL1,11,6,11.474711287953669,13.460598139636952,1.242231166984166,-1.598645167231258
MYBL1,11,7,11.05752735894981,13.189347515015706,1.1401353774998717,-1.8697956384272756
MYBL1,11,8,10.837208677646867,13.747123116941154,1.5357978958583978,-1.8947248509335008
MYBL1,11,9,9.318383826443435,12.342986783876087,1.8716253410293173,-1.616030137617844
MYBL1,11,10,7.26765097583879,10.344938193351947,2.866648780371733,-1.0734789830493672
MYBL1,11,11,5.314805918502355,7.838047628841721,2.044338053942468,-1.2342585442135372
NCOA3,16,0,17.694720260805344,17.49599665206348,0.6149300713126604,0.32316456457831017
NCOA3,16,1,16.112646125151816,15.69836361730952,0.5638164998127253,0.7347825187448441
NCOA3,16,2,15.49530771132701,14.940062027806594,0.6430539065284429,0.8634512252914173
NCOA3,16,3,15.54267723299749,14.665400025127107,0.8377032673637328,1.047241000540906
NCOA3,16,4,14.997019837995,13.962306822575822,1.2410304926586067,0.8337530959473489
NCOA3,16,5,14.731354519344825,13.55414378462871,0.9468530454906076,1.2432876889635476
NCOA3,16,6,14.744249632186902,13.51510182300694,1.063458333678656,1.1558025079630168
NCOA3,16,7,14.663368991362615,12.880354021158757,1.269509348012524,1.4044914068535623
NCOA3,16,8,14.664585678961863,12.78732682530145,1.3139119862188828,1.4287554062602812
NCOA3,16,9,13.958156765605858,12.302426664302804,1.444932890627629,1.145887197974892
NCOA3,16,10,12.920517702883103,10.042558386076248,2.013766560764351,1.4291424700758208
NCOA3,16,11,10.836843511056008,7.894736395817968,1.7265308291166035,1.7040570985595425
NEAT1,16,0,17.474648038307972,17.326120601628123,0.6428493478368926,0.2310454808418573
NEAT1,16,1,16.223591550516268,15.635619130462553,0.5708451486526915,1.0300033580760866
NEAT1,16,2,15.835785625173525,14.91861604791018,0.7299735104016829,1.256442273855462
NEAT1,16,3,15.86730222879123,14.977920059460596,0.6989574341491459,1.272441104247351
NEAT1,16,4,15.480693125363825,13.904829648666379,0.899263039982545,1.7523943569703855
NEAT1,16,5,15.253269303400847,12.9742871144379,1.2451755816439003,1.8302496632275744
NEAT1,16,6,15.325762714943775,13.32709385060896,0.9235092171892859,2.1642110626873787
NEAT1,16,7,15.330848755939364,13.027563363957091,1.1443198415079403,2.0127986148934487
NEAT1,16,8,15.515220403643752,13.16787820804893,1.42416590253445,1.6482224377212555
NEAT1,16,9,15.142250386586356,12.456378090562605,1.2514056391388984,2.1462843158289746
NEAT1,16,10,14.573378032178702,10.483421510777863,2.497719143549849,1.6374765481390536
NEAT1,16,11,12.587536101740495,8.618369978034337,1.8436879104948516,2.152840565429982
NFATC2,14,0,18.114559550853492,17.42218158760989,0.5393399727605817,1.2837505065676902
NFATC2,14,1,16.686767744432625,15.68240681166389,0.8481836941938034,1.1841313852695294
NFATC2,14,2,16.071569593266933,14.946517660231928,0.7675660035410099,1.4657396599703558
NFATC2,14,3,16.083066997231008,14.603598010134055,0.8342539286854308,1.773403679894219
NFATC2,14,4,15.566116832916958,13.597971104361287,0.9473753175835555,2.077472034605848
NFATC2,14,5,15.227956228179085,13.406986975693343,1.0412783162417871,1.7487824571801698
NFATC2,14,6,15.128842314716284,13.682019752862013,1.032626863722048,1.4011087767359418
NFATC2,14,7,15.011075005491668,12.94848338605019,1.2755460328710593,1.6170264077407683
NFATC2,14,8,15.030733140236338,13.66799052211977,1.2790438932024504,1.0654385086852294
NFATC2,14,9,14.355959170841324,12.252999534507438,1.684835089976876,1.248169419573727
NFATC2,14,10,13.456389848420534,9.514253452786836,1.9114635264691953,2.0623654812370433
NFATC2,14,11,11.429640690441502,9.105253465325106,2.2021034461242732,1.0555304425899446
NFIB,12,0,17.506494844048543,17.48703913983762,0.5681491717637425,0.034244006992961935
NFIB,12,1,15.596161822637137,15.503274669911885,0.9562194564722682,0.09713999448195293
NFIB,12,2,14.773833598806847,14.544634643557126,0.7534790799440165,0.3041875499273992
NFIB,12,3,14.643121749021862,14.94457699193652,1.0397143113751168,-0.28994045731269774
NFIB,12,4,13.845466746878833,13.867919141646334,1.0248677076495276,-0.021907602903202924
NFIB,12,5,13.458448903940567,13.804892992237594,1.1162534722518784,-0.31036327940653674
NFIB,12,6,13.275407262607544,13.680611190192783,1.101366975973324,-0.3679100031369139
NFIB,12,7,12.94007993505847,12.902821075825525,1.4648575590336221,0.025435141460119614
NFIB,12,8,12.736315999485454,13.713023115975824,1.4702775758739557,-0.6643011717769012
NFIB,12,9,11.594712225933975,11.740042869123485,1.6623189120553274,-0.08742645116743578
NFIB,12,10,10.048322196014528,11.140051138105088,2.389418986303306,-0.45690142597367767
NFIB,12,11,8.179635024832884,8.467206386578265,2.266354941796969,-0.12688716866095545
NR3C2,26,0,17.900103776774184,17.039588233306215,0.4969024450485631,1.7317595275343616
NR3C2,26,1,16.344673681869114,15.281380285592977,0.5993253040715572,1.7741506808615974
NR3C2,26,2,15.79246034662553,14.352629870066304,0.587946153558344,2.4489155475295528
NR3C2,26,3,15.836714497937717,14.564410784661707,0.7352291793020177,1.7304858799046283
NR3C2,26,4,15.333183445911994,13.63827073114276,1.0627106108386752,1.5948958234562416
NR3C2,26,5,15.034440663226594,13.236884563036876,0.9777954085639312,1.8383764992614897
NR3C2,26,6,14.981570191970219,13.081915686467422,1.0062160046323128,1.8879191910657003
NR3C2,26,7,14.976340961997513,13.356803244053996,0.7862811520911581,2.059743787112622
NR3C2,26,8,15.058744822505203,12.61482281410081,0.9839194913013527,2.4838638018767263
NR3C2,26,9,14.449797305714766,11.869124144629902,1.2373874775941511,2.0855820895346855
NR3C2,26,10,13.583523851486929,9.942627041807999,1.7280805358512088,2.106902273443822
NR3C2,26,11,11.51792978016669,8.001941526358536,1.594218783736909,2.2054615650472664
NR4A2,15,0,17.960278020882793,17.70558864344838,0.35940134675242136,0.7086489233716193
NR4A2,15,1,16.379095540954157,15.83726733236114,0.6186509846603813,0.8758221065314603
NR4A2,15,2,15.835466287308783,14.636034580743214,0.7860297155720515,1.525936847937937
